,시도코드,일시,시도,PM10,PM25,PM10등급,PM25등급
102,42,20160412,강원,46.98333333,26.503496500000004,2,2
103,42,20160413,강원,44.94583333,29.77372263,2,2
104,42,20160414,강원,58.66375546,35.15972222,2,2
105,42,20160415,강원,44.84583333,27.125,2,2
106,42,20160416,강원,44.025,28.28368794,2,2
107,42,20160417,강원,32.0464135,16.04878049,2,2
108,42,20160418,강원,73.63478261,23.83333333,2,2
109,42,20160419,강원,36.05092593,23.8046875,2,2
110,42,20160420,강원,43.02564103,26.23364486,2,2
111,42,20160421,강원,25.97058824,19.7755102,1,2
112,42,20160422,강원,70.83185841,48.2734375,2,2
113,42,20160423,강원,172.3583333,49.42361111,4,2
114,42,20160424,강원,82.1625,23.96527778,3,2
115,42,20160425,강원,66.96666667,28.3125,2,2
116,42,20160426,강원,70.73333333,31.45138889,2,2
117,42,20160427,강원,43.29565217,19.56338028,2,2
118,42,20160428,강원,39.86666667,18.31944444,2,2
119,42,20160429,강원,44.53846154,22.88194444,2,2
120,42,20160430,강원,81.31018519,43.34965035,3,2
121,42,20160501,강원,57.00454545,33.18055556,2,2
122,42,20160502,강원,38.25892857,23.82978723,2,2
123,42,20160503,강원,22.56730769,13.46363636,1,1
124,42,20160504,강원,48.77727273,12.06338028,2,1
125,42,20160505,강원,40.65833333,15.96503497,2,2
126,42,20160506,강원,48.45416667,25.9084507,2,2
127,42,20160507,강원,160.18333330000002,43.05555556,4,2
128,42,20160508,강원,63.6375,26.34722222,2,2
129,42,20160509,강원,63.04347826,32.00757576,2,2
130,42,20160510,강원,25.07,18.90654206,1,2
131,42,20160511,강원,28.36966825,15.544,1,2
132,42,20160512,강원,45.40641711,25.92523364,2,2
133,42,20160513,강원,29.85507246,17.12280702,1,2
134,42,20160514,강원,24.6125,13.28169014,1,1
135,42,20160515,강원,27.60416667,16.27407407,1,2
136,42,20160516,강원,35.97863248,19.72519084,2,2
137,42,20160517,강원,47.09333333,27.46666667,2,2
138,42,20160518,강원,44.31896552,29.08088235,2,2
139,42,20160519,강원,36.71489362,22.35664336,2,2
140,42,20160520,강원,36.9125,22.902097899999998,2,2
141,42,20160521,강원,37.97083333,25.88111888,2,2
142,42,20160522,강원,44.71548117,32.65942029,2,2
143,42,20160523,강원,49.00833333,34.0625,2,2
144,42,20160524,강원,38.6125,31.83193277,2,2
145,42,20160525,강원,64.52966102,46.31428571,2,2
146,42,20160526,강원,93.72532189,71.69444444,3,3
147,42,20160527,강원,65.86134454,46.30714286,2,2
148,42,20160528,강원,56.60833333,40.31944444,2,2
149,42,20160529,강원,59.30416667,40.45833333,2,2
150,42,20160530,강원,61.41452991,40.43478261,2,2
151,42,20160531,강원,69.16157205,47.62878788,2,2
152,42,20160601,강원,37.52360515,21.6875,2,2
153,42,20160602,강원,25.86075949,13.46808511,1,1
154,42,20160603,강원,44.39565217,25.15277778,2,2
155,42,20160604,강원,41.95689655,28.67407407,2,2
156,42,20160605,강원,37.4625,25.46527778,2,2
157,42,20160606,강원,30.51046025,18.90909091,2,2
158,42,20160607,강원,34.35833333,23.06993007,2,2
159,42,20160608,강원,44.96610169,34.35766423,2,2
160,42,20160609,강원,39.05084746,27.84615385,2,2
161,42,20160610,강원,43.0875,29.54166667,2,2
