,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),SO2,CO,O3,NO2,PM10,PM25
30,1120160131,11,20160131,-3.9,-6.5,0.3,3.2,320.0,1018.4,0.0057214909999999996,0.49462719299999997,0.02308114,0.024939102999999997,40.67735043,20.61538462
31,1120160201,11,20160201,-6.0,-9.1,-1.0,3.0,320.0,1018.5,0.005866071,0.512831858,0.018975474,0.030556039,42.0389755,18.32478632
32,1120160202,11,20160202,-5.3,-10.0,0.9,2.2,340.0,1017.6,0.006632811999999999,0.634961998,0.013203073999999999,0.04274754099999999,47.297593,21.68150685
33,1120160203,11,20160203,-2.4,-8.3,4.0,1.9,70.0,1016.9,0.0073245030000000004,0.93193096,0.008219089,0.05971101400000001,59.33588621,30.53780069
34,1120160204,11,20160204,-0.7,-4.0,3.9,2.4,320.0,1014.9,0.007098343000000001,0.887190527,0.013091694,0.048496233,58.18181818,31.56382979
35,1120160205,11,20160205,-2.2,-6.8,3.4,2.5,320.0,1013.1,0.0068202869999999995,0.63566058,0.016012903000000002,0.041356606000000004,47.12906725,20.77948718
36,1120160206,11,20160206,-3.1,-6.2,2.0,2.9,320.0,1012.6,0.006773026,0.554438503,0.022233974,0.028440171,51.91336898,24.30050083
37,1120160207,11,20160207,-2.9,-8.3,3.5,2.0,320.0,1012.0,0.006115132,0.63034188,0.013675214,0.037439103,47.63850267,23.53589316
38,1120160208,11,20160208,1.3,-4.3,5.5,3.1,270.0,1004.8,0.007553238,0.6855460390000001,0.022131551,0.035618182000000005,75.11278195,40.77666667
39,1120160209,11,20160209,0.3,-3.9,5.5,3.0,320.0,1011.3,0.0068386390000000005,0.480818966,0.024727272999999998,0.024127409,51.16720257,25.21166667
40,1120160210,11,20160210,2.7,-4.3,10.7,1.6,90.0,1015.2,0.006289329000000001,0.811764706,0.00801073,0.050076075,43.86616702,22.639866
41,1120160211,11,20160211,8.1,1.6,13.5,3.5,110.0,1013.7,0.006877483,0.8688864629999999,0.006873446,0.056806958,49.84108108,24.60472973
42,1120160212,11,20160212,8.4,6.8,10.0,3.2,110.0,1006.9,0.0052732180000000005,0.788387097,0.007911063000000001,0.04679225,36.50965665,20.87197232
43,1120160213,11,20160213,11.0,5.8,14.4,3.3,140.0,996.3,0.005189305,0.7479144390000001,0.00486631,0.038271658,17.65401302,10.15897436
44,1120160214,11,20160214,-2.6,-6.8,5.8,4.6,320.0,1003.1,0.004589744000000001,0.41490545100000004,0.021263888999999998,0.01761859,30.95469256,17.04545455
45,1120160215,11,20160215,-5.8,-10.0,-2.3,4.0,340.0,1010.4,0.004541532,0.38482835,0.023921251,0.022941747999999998,33.87459106,11.49409781
46,1120160216,11,20160216,-2.7,-6.7,1.1,2.7,320.0,1007.7,0.005134345,0.5098125689999999,0.016331528,0.033588299,29.15494505,15.05723906
47,1120160217,11,20160217,0.0,-5.2,5.4,2.3,320.0,1013.5,0.005817888,0.60075594,0.013260776,0.040806034,41.78890098,15.28183362
48,1120160218,11,20160218,3.5,-1.4,7.8,3.2,270.0,1010.8,0.006405172,0.634159483,0.018263215,0.041855603,46.87908497,22.09475465
49,1120160219,11,20160219,2.3,0.1,4.4,1.7,290.0,1016.2,0.007051054,0.963163597,0.007198919,0.049273514000000004,86.702407,41.24957841
50,1120160220,11,20160220,1.3,-2.5,6.3,2.9,340.0,1013.2,0.005762221999999999,0.577681473,0.017752165,0.035524892,48.98245614,18.25214408
51,1120160221,11,20160221,-0.6,-4.2,4.4,2.9,320.0,1019.2,0.005227122,0.41006424,0.026016043,0.023881283,29.18191604,11.79495798
52,1120160222,11,20160222,1.1,-2.2,4.2,1.9,270.0,1019.4,0.005728188,0.575307263,0.009756522,0.046673913,46.82665222,17.7106599
53,1120160223,11,20160223,0.7,-4.5,4.5,3.2,340.0,1019.0,0.0054681090000000005,0.5331466970000001,0.018433481,0.033463415,55.82969432,26.86904762
