,시도코드,일시,시도,PM10,PM25,PM10등급,PM25등급
102,11,20160412,서울,58.76200873,26.6360601,2,2
103,11,20160413,서울,60.36217949,32.25250836,2,2
104,11,20160414,서울,58.65330444,30.43243243,2,2
105,11,20160415,서울,56.71334792,26.99315068,2,2
106,11,20160416,서울,53.78862661,24.42976589,2,2
107,11,20160417,서울,47.43817787,16.21006944,2,2
108,11,20160418,서울,64.50805585,22.57435897,2,2
109,11,20160419,서울,47.85032538,20.31133672,2,2
110,11,20160420,서울,65.70568928,30.589041100000003,2,2
111,11,20160421,서울,29.70985604,16.60070671,1,2
112,11,20160422,서울,84.60666667,46.91055456,3,2
113,11,20160423,서울,201.2697368,41.88194444,4,2
114,11,20160424,서울,147.78571430000002,25.91243433,3,2
115,11,20160425,서울,80.24915445,24.20603908,3,2
116,11,20160426,서울,82.15614618,28.57266436,3,2
117,11,20160427,서울,52.76923077,16.32263514,2,2
118,11,20160428,서울,60.33549784,20.53794266,2,2
119,11,20160429,서울,66.18790497,27.10829103,2,2
120,11,20160430,서울,78.39978448,35.44166667,2,2
121,11,20160501,서울,46.85991379,20.12353923,2,2
122,11,20160502,서울,48.55458515,23.57410562,2,2
123,11,20160503,서울,19.40773481,9.258347979,1,1
124,11,20160504,서울,52.55043860000001,11.81238938,2,1
125,11,20160505,서울,57.26956522,21.24659864,2,2
126,11,20160506,서울,53.09022556,21.91708968,2,2
127,11,20160507,서울,116.2959402,21.86904762,3,2
128,11,20160508,서울,54.04951561,16.49745331,2,2
129,11,20160509,서울,61.95782464,21.2879046,2,2
130,11,20160510,서울,32.98232044,14.24742268,2,1
131,11,20160511,서울,31.62472406,12.79553265,2,1
132,11,20160512,서울,31.94754098,15.19618056,2,2
133,11,20160513,서울,42.68708972,21.45918367,2,2
134,11,20160514,서울,37.48383621,18.31228669,2,2
135,11,20160515,서울,34.64718853,19.13157895,2,2
136,11,20160516,서울,38.06490649,17.76532399,2,2
137,11,20160517,서울,70.56297919,36.75342466,2,2
138,11,20160518,서울,53.89858233,28.022033899999997,2,2
139,11,20160519,서울,42.23452769,20.29391892,2,2
140,11,20160520,서울,54.87702265,29.5152027,2,2
141,11,20160521,서울,41.45797414,25.38525963,2,2
142,11,20160522,서울,57.57543103,37.76689189,2,2
143,11,20160523,서울,70.75082327,44.53412969,2,2
144,11,20160524,서울,35.04939627,22.77951389,2,2
145,11,20160525,서울,92.7449089,60.92773109,3,3
146,11,20160526,서울,109.55866520000001,70.61148649,3,3
147,11,20160527,서울,93.14270153,54.46735395,3,3
148,11,20160528,서울,78.79184549,39.39698492,2,2
149,11,20160529,서울,83.65618221,42.28666667,3,2
150,11,20160530,서울,94.01737242,53.5738255,3,3
151,11,20160531,서울,80.8313253,45.75879397,3,2
152,11,20160601,서울,43.61716172,21.97118644,2,2
153,11,20160602,서울,38.35658043,17.70648464,2,2
154,11,20160603,서울,47.99221357,24.70756303,2,2
155,11,20160604,서울,54.4423913,27.55333333,2,2
156,11,20160605,서울,52.04422869,28.12541806,2,2
157,11,20160606,서울,25.10021552,13.15932203,1,1
158,11,20160607,서울,44.24505495,26.09965636,2,2
159,11,20160608,서울,39.89989236,23.57512953,2,2
160,11,20160609,서울,54.94124048,30.87248322,2,2
161,11,20160610,서울,61.75734494,36.02372881,2,2
162,11,20160611,서울,50.07874865,30.36470588,2,2
163,11,20160612,서울,31.81954887,20.4770017,2,2
164,11,20160613,서울,65.18389554,37.19896194,2,2
165,11,20160614,서울,53.30869565,30.81663837,2,2
166,11,20160615,서울,37.69456522,22.49741824,2,2
167,11,20160616,서울,33.11580087,18.77133106,2,2
168,11,20160617,서울,55.91487069,36.16808149,2,2
169,11,20160618,서울,67.96898396,45.25252525,2,2
170,11,20160619,서울,42.08653846,27.85304054,2,2
171,11,20160620,서울,53.3819978,34.75762712,2,2
172,11,20160621,서울,64.2563818,42.26643599,2,2
173,11,20160622,서울,70.52480706,47.35602094,2,2
174,11,20160623,서울,48.64277959,31.55208333,2,2
175,11,20160624,서울,55.26297170000001,32.59961315,2,2
176,11,20160625,서울,34.36425339,17.56742557,2,2
177,11,20160626,서울,32.4813137,18.06806283,2,2
178,11,20160627,서울,36.65276212,20.92932862,2,2
179,11,20160628,서울,62.27821229,40.53928571,2,2
180,11,20160629,서울,39.05011136,24.13120567,2,2
181,11,20160630,서울,31.80691964,19.77272727,2,2
182,11,20160701,서울,22.8505618,13.46961326,1,1
183,11,20160702,서울,15.89631336,8.851272016,1,1
184,11,20160703,서울,43.29296424,28.72293578,2,2
185,11,20160704,서울,23.54942529,13.6972973,1,1
186,11,20160705,서울,15.17945824,7.757469244,1,1
187,11,20160706,서울,19.5337763,9.382352941,1,1
188,11,20160707,서울,43.84732824,25.85714286,2,2
189,11,20160708,서울,57.76470588,35.19104991,2,2
190,11,20160709,서울,40.087719299999996,22.44033613,2,2
191,11,20160710,서울,36.62176724,21.70945946,2,2
192,11,20160711,서울,56.02171553,35.64310345,2,2
193,11,20160712,서울,39.41910966,26.40459364,2,2
194,11,20160713,서울,32.5426009,17.40862069,2,2
195,11,20160714,서울,31.42170022,17.59965636,2,2
196,11,20160715,서울,21.20089286,9.919520548,1,1
197,11,20160716,서울,10.89942857,5.154237288,1,1
198,11,20160717,서울,16.03475336,9.147008547,1,1
199,11,20160718,서울,29.45113636,16.14236707,1,2
200,11,20160719,서울,38.33409091,21.49661017,2,2
201,11,20160720,서울,38.66514286,22.70984456,2,2
202,11,20160721,서울,32.86038593,19.1761658,2,2
203,11,20160722,서울,37.92248062,22.69535284,2,2
204,11,20160723,서울,43.50976139,27.16891892,2,2
205,11,20160724,서울,39.047516200000004,25.30169492,2,2
206,11,20160725,서울,44.32182628,30.49575552,2,2
207,11,20160726,서울,35.03941441,23.340989399999998,2,2
208,11,20160727,서울,35.85599078,22.94921191,2,2
209,11,20160728,서울,58.07102593,37.99125874,2,2
210,11,20160729,서울,47.27519819,29.18228279,2,2
211,11,20160730,서울,45.49064906,30.46127367,2,2
212,11,20160731,서울,39.57853982,26.70408163,2,2
213,11,20160801,서울,35.32772166,21.89536878,2,2
214,11,20160802,서울,29.54072398,16.55478261,1,2
215,11,20160803,서울,31.90808416,17.59208262,2,2
216,11,20160804,서울,35.11491713,20.31514085,2,2
217,11,20160805,서울,44.045209899999996,26.560477000000002,2,2
218,11,20160806,서울,60.95353982,39.26048951,2,2
219,11,20160807,서울,38.08482143,25.59827586,2,2
220,11,20160808,서울,41.36384181,25.32,2,2
221,11,20160809,서울,35.33223684,22.52151463,2,2
222,11,20160810,서울,66.93386545,43.74911032,2,2
223,11,20160811,서울,34.75675676,19.91087344,2,2
224,11,20160812,서울,44.79057018,27.72774869,2,2
225,11,20160813,서울,38.22473118,25.15025907,2,2
