,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),일 최심신적설(cm),일강수량(mm),강수 계속시간(hr)
59,1120160229,11,20160229,-3.8,-5.9,-1.1,4.0,320.0,1014.4,0.0,0.0,2.05
60,1120160301,11,20160301,-2.7,-7.5,2.1,2.5,320.0,1017.2,0.0,0.0,0.0
61,1120160302,11,20160302,3.1,-2.2,8.1,2.9,270.0,1014.1,0.0,0.0,0.0
62,1120160303,11,20160303,8.1,4.4,13.9,1.9,200.0,1013.2,0.0,0.0,0.0
63,1120160304,11,20160304,13.2,6.4,20.3,2.7,110.0,1013.4,0.0,0.1,1.03
64,1120160305,11,20160305,11.3,9.1,13.5,2.6,110.0,1007.9,0.0,40.0,10.87
65,1120160306,11,20160306,7.9,4.3,12.9,2.8,320.0,1009.0,0.0,0.2,2.92
66,1120160307,11,20160307,8.1,4.8,12.2,2.0,110.0,1007.6,0.0,0.0,0.17
67,1120160308,11,20160308,2.7,-1.4,7.0,3.1,340.0,1012.3,0.0,0.0,0.0
68,1120160309,11,20160309,0.3,-2.7,5.3,3.5,340.0,1013.2,0.0,0.0,0.0
69,1120160310,11,20160310,-1.1,-4.3,3.1,3.2,340.0,1015.6,0.0,0.0,0.0
70,1120160311,11,20160311,-0.5,-5.5,4.6,2.6,320.0,1014.7,0.0,0.0,0.0
71,1120160312,11,20160312,2.0,-3.3,6.4,2.5,270.0,1014.1,0.0,0.0,0.0
72,1120160313,11,20160313,3.7,1.9,6.5,1.6,20.0,1013.6,0.0,0.1,2.0
73,1120160314,11,20160314,4.7,1.3,9.6,2.6,320.0,1012.0,0.0,0.0,0.0
74,1120160315,11,20160315,5.2,-1.0,12.4,2.2,320.0,1012.8,0.0,0.0,0.0
75,1120160316,11,20160316,7.5,2.7,13.8,2.0,320.0,1011.5,0.0,0.0,0.0
76,1120160317,11,20160317,9.3,2.0,14.7,1.4,70.0,1009.7,0.0,0.0,0.0
77,1120160318,11,20160318,13.4,8.8,20.1,2.4,110.0,1002.0,0.0,0.0,0.0
78,1120160319,11,20160319,11.4,6.6,18.1,2.5,320.0,1004.2,0.0,0.0,0.0
79,1120160320,11,20160320,10.6,4.9,17.5,2.2,320.0,1009.9,0.0,0.0,0.0
80,1120160321,11,20160321,9.9,5.5,16.1,2.2,320.0,1012.3,0.0,0.0,0.0
81,1120160322,11,20160322,8.0,3.5,13.8,2.5,320.0,1008.7,0.0,0.0,0.0
82,1120160323,11,20160323,8.2,3.8,13.8,2.9,340.0,1008.9,0.0,0.0,0.0
83,1120160324,11,20160324,7.2,1.6,12.7,2.4,320.0,1013.8,0.0,0.0,0.0
84,1120160325,11,20160325,7.1,2.1,12.6,2.2,320.0,1013.0,0.0,0.0,0.0
85,1120160326,11,20160326,6.5,2.1,12.6,2.2,320.0,1010.8,0.0,0.0,0.0
86,1120160327,11,20160327,7.2,2.2,13.1,2.6,320.0,1009.7,0.0,0.0,0.0
87,1120160328,11,20160328,9.8,2.3,17.4,2.0,290.0,1010.6,0.0,0.0,0.0
88,1120160329,11,20160329,11.3,7.6,17.1,3.2,270.0,1007.6,0.0,0.1,1.17
89,1120160330,11,20160330,11.5,7.0,18.3,2.2,320.0,1009.3,0.0,0.0,0.0
90,1120160331,11,20160331,13.5,6.0,21.4,2.1,90.0,1006.2,0.0,0.0,0.0
91,1120160401,11,20160401,15.3,7.3,23.8,2.0,320.0,1005.0,0.0,0.0,0.0
92,1120160402,11,20160402,15.0,9.6,21.7,2.3,320.0,1007.9,0.0,0.0,0.0
93,1120160403,11,20160403,10.7,8.2,12.7,1.7,70.0,1007.6,0.0,2.0,8.43
94,1120160404,11,20160404,12.3,5.1,19.8,2.2,320.0,1003.1,0.0,0.0,0.0
95,1120160405,11,20160405,11.4,5.9,18.1,2.5,290.0,1006.1,0.0,0.0,0.0
96,1120160406,11,20160406,14.4,6.6,22.9,1.9,90.0,1005.2,0.0,3.0,2.12
97,1120160407,11,20160407,14.1,10.5,20.6,3.0,290.0,998.7,0.0,7.5,6.95
98,1120160408,11,20160408,11.1,7.8,18.7,2.5,320.0,1005.0,0.0,0.0,0.0
99,1120160409,11,20160409,10.7,7.4,14.1,1.8,250.0,1003.8,0.0,0.0,0.0
100,1120160410,11,20160410,13.4,9.3,20.7,2.1,290.0,1002.8,0.0,0.0,0.0
101,1120160411,11,20160411,12.5,5.7,19.4,2.4,320.0,1008.4,0.0,0.0,0.0
102,1120160412,11,20160412,14.1,10.3,19.4,2.3,320.0,1004.5,0.0,0.0,0.0
103,1120160413,11,20160413,15.6,11.4,21.4,1.7,320.0,996.4,0.0,1.0,7.5
104,1120160414,11,20160414,12.4,9.3,18.6,2.6,320.0,1002.4,0.0,0.0,0.0
105,1120160415,11,20160415,15.0,8.1,23.1,2.6,320.0,1008.5,0.0,0.0,0.0
106,1120160416,11,20160416,14.9,9.8,20.7,2.9,110.0,996.6,0.0,23.5,11.17
107,1120160417,11,20160417,10.8,8.3,14.5,4.7,270.0,993.8,0.0,20.5,5.67
108,1120160418,11,20160418,11.2,7.1,18.6,3.1,290.0,1003.8,0.0,1.5,2.13
109,1120160419,11,20160419,12.0,6.5,19.2,2.2,320.0,1012.1,0.0,0.0,0.0
110,1120160420,11,20160420,14.3,10.1,20.9,2.1,90.0,1008.3,0.0,0.5,7.2
111,1120160421,11,20160421,13.5,10.3,16.9,2.8,110.0,996.2,0.0,17.0,11.83
112,1120160422,11,20160422,13.5,10.1,18.6,2.6,320.0,999.0,0.0,0.0,0.5
113,1120160423,11,20160423,13.5,7.8,19.8,2.1,320.0,1003.4,0.0,0.0,0.0
114,1120160424,11,20160424,15.5,8.1,23.7,1.9,320.0,1005.0,0.0,0.0,0.0
115,1120160425,11,20160425,17.2,10.2,25.3,1.7,70.0,1007.4,0.0,0.0,0.0
116,1120160426,11,20160426,21.1,12.1,29.6,2.0,110.0,1004.1,0.0,0.0,0.0
117,1120160427,11,20160427,17.2,14.5,20.7,3.6,110.0,999.3,0.0,0.0,0.0
118,1120160428,11,20160428,17.2,12.4,23.0,2.0,90.0,997.3,0.0,0.0,0.0
119,1120160429,11,20160429,16.2,10.9,22.6,2.5,270.0,1001.5,0.0,0.3,0.23
120,1120160430,11,20160430,15.9,10.8,20.4,2.8,270.0,1001.4,0.0,0.0,0.0
121,1120160501,11,20160501,18.8,12.2,26.0,2.2,250.0,1003.5,0.0,0.0,0.0
122,1120160502,11,20160502,21.1,16.5,28.4,2.2,200.0,1001.1,0.0,16.5,7.08
123,1120160503,11,20160503,12.9,8.9,17.6,4.9,270.0,984.5,0.0,27.0,20.72
124,1120160504,11,20160504,15.7,10.2,20.6,5.1,290.0,993.6,0.0,0.0,0.0
125,1120160505,11,20160505,18.9,10.2,26.9,1.7,320.0,1002.5,0.0,7.5,3.33
126,1120160506,11,20160506,16.3,13.0,18.6,2.0,320.0,996.8,0.0,9.5,10.87
127,1120160507,11,20160507,16.5,10.7,22.6,2.6,290.0,1004.0,0.0,0.0,0.0
128,1120160508,11,20160508,19.4,11.6,26.8,2.1,90.0,1005.8,0.0,0.0,0.0
129,1120160509,11,20160509,20.2,16.3,25.4,2.0,340.0,1000.6,0.0,0.0,0.28
130,1120160510,11,20160510,14.5,12.5,18.1,2.3,20.0,997.0,0.0,13.5,12.5
131,1120160511,11,20160511,16.4,10.4,23.5,2.0,290.0,999.4,0.0,0.0,0.0
132,1120160512,11,20160512,17.8,12.1,24.0,2.7,230.0,1002.9,0.0,0.0,0.0
133,1120160513,11,20160513,18.6,12.7,25.4,2.1,270.0,1009.4,0.0,0.5,3.08
134,1120160514,11,20160514,20.2,15.1,26.9,2.3,20.0,1010.9,0.0,0.0,0.0
