,일시,기상번호,시도코드,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),일 최심신적설(cm),일강수량(mm),강수 계속시간(hr),PM10,PM25,PM10등급,PM25등급
3,20160104,3684865986.352941,36.64705882352941,5.51330062094768,0.8127797692503574,10.038113651054827,2.259222640104993,271.141789582966,1012.2624645942293,0.0,0.0,0.0,80.23336229176472,58.846588713529414,2.4705882352941178,2.7058823529411766
4,20160105,3684865987.352941,36.64705882352941,1.0474605786370494,-1.672334822040705,4.677325321737087,2.067218369865429,234.4319699907935,1015.6693095140154,0.0,0.478138528138528,0.2544747899159664,33.96517639058824,19.395670063529412,1.7647058823529411,1.8823529411764706
5,20160106,3684865988.352941,36.64705882352941,1.230512918454095,-3.12271698889346,5.644278270748861,2.2206713874360937,254.14523711582532,1014.1088972791915,0.0,0.0,0.0,49.60219292823529,29.77044054294118,2.0,2.0
6,20160107,3684865989.352941,36.64705882352941,0.6803010714775419,-1.9947689565336622,4.469662886133475,2.5753160564925275,256.5453468100527,1013.3432791718085,0.0,0.0004901960784313725,0.06046218487394959,43.23388524235295,25.853437698235297,2.0,2.0
7,20160108,3684865990.352941,36.64705882352941,-0.20768094650447597,-3.3526361873420694,3.997571448159683,2.3352743335096275,250.67068225891757,1012.4111615835145,0.041176470588235294,0.07967914438502674,0.9084714795008912,32.92220262294117,18.980457981176475,1.7058823529411764,1.9411764705882353
8,20160109,3684865991.352941,36.64705882352941,1.078117274881981,-3.03635795576972,5.874516365986955,1.946812990930638,268.0389512448336,1014.3769265048677,0.00196078431372549,0.000980392156862745,0.08370677361853832,36.28708008529412,22.203452438235296,1.9411764705882353,2.0
9,20160110,3684865992.352941,36.64705882352941,2.021554328024916,-2.021290474231651,6.809962390550627,1.8362809739280326,253.31105169340464,1015.4871441303793,0.0,0.0,0.08783193277310924,45.147927687647055,29.986466477647053,2.0,2.0588235294117645
10,20160111,3684865993.352941,36.64705882352941,-0.2289694619106383,-3.5041339053103764,4.475710857769681,2.2457087030616445,222.34231454819692,1015.1223809523809,0.011344537815126052,0.019747899159663865,0.06407563025210083,39.972055189411776,23.910887189411767,2.0,2.0
11,20160112,3684865994.352941,36.64705882352941,-1.6579053299641535,-6.104704707057647,3.710879512644218,2.351683120800768,239.00812912577618,1012.6464761708878,0.035574229691876756,0.0323720397249809,0.307501909854851,38.70722615470589,22.234897759999996,1.8235294117647058,1.9411764705882353
12,20160113,3684865995.352941,36.64705882352941,-1.001660104601281,-4.342901412313178,2.6820927112103576,2.5578269769446242,246.26273726273726,1009.7301657166364,0.4440373352138058,0.5616749916749918,3.1268192689663277,32.90541383764705,19.598511985294113,1.8235294117647058,1.9411764705882353
13,20160114,3684865996.352941,36.64705882352941,-0.6963706881353935,-4.785119782178605,3.7229494035376383,1.9861161387631976,237.08788270552978,1011.3066000665999,0.30014260249554364,0.19517492311609957,1.5533766723472606,39.275951940588236,22.436738697647055,2.0,2.0
14,20160115,3684865997.352941,36.64705882352941,0.4810379816262169,-4.261574601868721,6.630944055944055,1.2318276821217997,191.3953595424184,1011.1116975181681,0.023697478991596643,0.06254510195686667,0.08832696715049658,60.734087074117646,41.19410765529412,2.0,2.1176470588235294
15,20160116,3684865998.352941,36.64705882352941,1.4712276938747526,-3.022492311609959,7.439414605002841,1.2773391314567786,158.86992419345358,1012.1177987698575,0.009159663865546216,0.03667959491488903,0.5133132945485887,77.84796383705881,57.531965295294114,2.4705882352941178,2.764705882352941
16,20160117,3684865999.352941,36.64705882352941,2.6534052222287516,-0.4696453546453545,6.263293569175923,1.5828586119762589,162.78352040116744,1006.1540803314334,0.01372549019607843,4.846299093063799,3.669611212317095,66.68799680176471,51.159672946470586,2.176470588235294,2.588235294117647
17,20160118,3684866000.352941,36.64705882352941,-1.9261941000176293,-7.151524357994946,3.1473382499853084,4.442386241209771,300.5692053044994,1002.9543128440188,1.0768360071301246,1.2328376525435347,4.211428904428904,41.25975112764706,26.371160687647063,1.8823529411764706,2.0
18,20160119,3684866001.352941,36.64705882352941,-7.1532985641809175,-9.394614307261364,-4.1302336878807475,4.923936455701162,296.29896574014214,1010.4339872872224,1.0806990068754774,0.8415355233002293,3.5889160937102114,24.419971582352936,10.754842986823531,1.1764705882352942,1.0588235294117647
19,20160120,3684866002.352941,36.64705882352941,-6.510741219564751,-10.356152670858554,-2.1454646334058105,2.3353117470764526,215.47093102975455,1018.6968118156354,0.05378151260504202,0.026114081996434935,1.0900662083015025,34.921852832352954,23.111490787647057,1.7647058823529411,1.9411764705882353
20,20160121,3684866003.352941,36.64705882352941,-4.34831971949619,-7.789269847799259,0.08091408591408597,2.123231670290494,254.9208046855106,1017.0488477209065,0.06722689075630252,0.08298319327731092,0.14093837535014006,43.22799488823529,30.10350186588235,1.8235294117647058,2.0
21,20160122,3684866004.352941,36.64705882352941,-3.9103241856183035,-8.575497051967641,0.7252639517345401,2.5883265753853992,239.35399894223423,1019.6229252120429,0.12394957983193278,0.08571428571428572,0.13186974789915967,38.25628669117647,24.436040869999996,1.7647058823529411,1.8823529411764706
22,20160123,3684866005.352941,36.64705882352941,-6.9470052496523085,-11.217458423929013,-3.3782574288456644,3.741567158331865,282.2194570135747,1017.9150301659125,1.3345238095238097,1.506936592818946,2.9052158135981667,31.520448799411763,17.32138360882353,1.6470588235294117,1.6470588235294117
23,20160124,3684866006.352941,36.64705882352941,-10.683154590507533,-13.97247350688527,-7.337467434526258,3.3247558324028907,281.1406926406927,1014.2093362519835,1.330743570155335,1.640262286732875,3.31149452508276,28.991107019411768,17.024410077470588,1.3529411764705883,1.7058823529411764
24,20160125,3684866007.352941,36.64705882352941,-6.267808661926307,-11.88923742923743,-1.0420277761454233,2.2295548569077983,256.5587157940099,1017.7211344537815,0.315952380952381,0.35077030812324933,1.6082775655716834,45.97228356882354,22.37150560235294,1.9411764705882353,1.9411764705882353
25,20160126,3684866008.352941,36.64705882352941,-1.2318782198193963,-6.163423635188341,3.8489662298485827,2.1897886427298197,218.60826428473487,1016.7574061232883,0.15000000000000002,0.12248663101604279,2.792518305224188,62.520898882941175,35.331111175882356,2.1176470588235294,2.0
26,20160127,3684866009.352941,36.64705882352941,0.5435933674168969,-4.183692581927876,6.337999157705041,1.5650295782648722,252.66651975475511,1019.1922401128284,0.0,0.0014705882352941176,0.022058823529411766,74.54620544235296,48.47718933,2.2941176470588234,2.4705882352941178
27,20160128,3684866010.352941,36.64705882352941,0.7719562790151026,-3.7718178879943594,4.007106325047501,1.3956151691445808,166.02440696558347,1017.512666842961,0.05378151260504202,8.460940921823275,3.6740791953144893,73.52339231294116,51.85442510000001,2.235294117647059,2.4705882352941178
28,20160129,3684866011.352941,36.64705882352941,2.815823294352706,0.8579220779220779,4.9507466063348415,2.2419264069264067,165.81041507512097,1013.4933535092359,0.3384938590820944,8.666560106560107,7.614605286869992,37.58363141117647,25.413163436941176,1.588235294117647,1.7058823529411764
29,20160130,3684866012.352941,36.64705882352941,2.655157097804157,-0.6376885859238801,7.0192602495543674,1.7407273119037825,188.86632974868266,1015.1324351139056,0.040400775694893344,0.29460784313725485,1.024277095453566,33.4855072717647,23.658569292352944,1.588235294117647,1.8823529411764706
30,20160131,3684866013.352941,36.64705882352941,-0.4603417171064231,-3.0657183992478108,3.1217232767232765,2.460679222738046,279.33013065366004,1017.953938512468,0.03739495798319328,0.10378151260504201,0.058823529411764705,43.30038567411765,27.106499091176474,2.0,2.0
31,20160201,3684866083.352941,36.64705882352941,-2.6413388572212098,-5.761913282795635,1.821820336526219,2.859610193727841,266.32732953321187,1017.7845833578186,0.13137254901960785,0.1783613445378151,0.23261904761904764,33.93548250058823,18.09778583235294,1.7058823529411764,1.8823529411764706
32,20160202,3684866084.352941,36.64705882352941,-2.9050959824489238,-7.783778476425535,2.8993680828974946,2.246539049186108,234.55247693482988,1017.1421999569059,0.04341736694677872,0.03200280112044818,0.15113445378151258,39.55143758,22.389913587647058,1.8823529411764706,1.8823529411764706
33,20160203,3684866085.352941,36.64705882352941,-1.242135903312374,-7.292438639791581,5.112240798417269,1.9303355468061354,236.43893361540424,1016.9904388748507,0.011344537815126052,0.013865546218487394,0.06441176470588235,51.312706790588244,31.240419511764713,2.0,2.0
34,20160204,3684866086.352941,36.64705882352941,0.7254016571663632,-4.185523691994281,5.904650839356721,2.1547515229868175,267.1528765352295,1015.1723264970324,0.0,0.0,0.0,59.918571567647064,39.063559947647065,2.0588235294117645,2.1176470588235294
35,20160205,3684866087.352941,36.64705882352941,0.26367583396995153,-4.309586589880707,5.724396192043251,2.2412116315057493,269.7951558245676,1012.8604087089383,0.0,0.0,0.00788235294117647,43.207433545882346,23.522583015882358,1.9411764705882353,1.9411764705882353
36,20160206,3684866088.352941,36.64705882352941,-0.9455612035023799,-4.585361305361306,3.521088911088911,2.6325595972654794,280.3968188674071,1012.5115630447983,0.10850032320620553,0.26155227125815367,0.615098587686823,42.83066617176471,23.91229345882353,1.9411764705882353,2.0
37,20160207,3684866089.352941,36.64705882352941,-1.2728693855164446,-7.062673894732718,5.154130379424497,1.7258460167283696,237.94508432743726,1012.0784450843273,0.0,0.0028711484593837537,0.05021708683473389,39.546519188235294,24.32363859588235,1.8823529411764706,1.9411764705882353
38,20160208,3684866090.352941,36.64705882352941,2.2695188145188148,-4.743322657734422,7.749644766997708,2.781635423400129,233.8118254294725,1006.910751797222,0.0,0.09800904977375566,0.04330316742081448,59.8182866882353,37.36098161529412,2.0,2.0
39,20160209,3684866091.352941,36.64705882352941,3.0407398483869077,-1.3364799905976377,7.855948757125227,3.11610820551997,265.23865350335944,1011.4693642631879,0.0,0.014932126696832578,0.021654815772462834,53.53862861588236,29.045384292352942,2.0,2.0
40,20160210,3684866092.352941,36.64705882352941,3.168802765861589,-3.8462804842216607,11.320732306908775,1.4358444496679794,148.26178723237547,1015.8242439913028,0.0,0.0,0.0,41.67086063529412,23.883794224117647,2.0,1.9411764705882353
41,20160211,3684866093.352941,36.64705882352941,7.619400697341873,0.027186441009970357,14.28958747135218,2.3184061037002217,142.0291767056473,1014.9789530077767,0.0,0.8281372549019607,0.7751292335115864,48.644298538823534,27.88855138705882,2.0,2.0
42,20160212,3684866094.352941,36.64705882352941,10.357485259838203,7.657083896495662,12.446684296096063,2.1753166441401737,169.51002918649976,1008.2419236645709,0.0,22.18577363812658,9.827252424046543,33.373758972941175,22.10113708,1.7058823529411764,1.8823529411764706
43,20160213,3684866095.352941,36.64705882352941,12.331885565414975,7.804527237468413,16.617091437973798,2.143709231944526,150.09344576991637,997.9477274686099,0.0,14.364351922587215,5.81387123660653,22.689229369411766,15.234621682411765,1.0588235294117647,1.411764705882353
44,20160214,3684866096.352941,36.64705882352941,1.2582850482850487,-3.0670812520812523,9.70548882490059,4.634114414996767,291.5047599459364,1003.245006757948,0.04605042016806723,0.5499171416818476,3.465265381677146,28.07160674588235,15.510115252352943,1.4705882352941178,1.6470588235294117
45,20160215,3684866097.352941,36.64705882352941,-2.9323741944330175,-5.966391647568119,0.3959499324205207,3.8582824038706387,283.98858004740356,1010.2830482262837,0.4714031066972244,0.49389199036257864,2.4073275352098884,29.672705035294115,12.78549944752941,1.4705882352941178,1.1176470588235294
